Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 115,22,"['worry', ',', 'really', 'approaching', 'part', ',', 'thinking', 'internet', 'church', ',', 'two', 'different', 'things', '.']",14,"['I', 'just', 'this', 'about', 'the', 'and', 'the', 'very']",8,0.36,
Sentence 116,38,"['made', 'think', ',', '``', 'OK', ',', 'institutions', 'created', 'reaction', 'human', 'need', 'connection', 'asking', 'big', 'questions', ',', 'made', 'internet', 'church', '.', ""''""]",21,"['It', 'me', 'these', 'are', 'both', 'that', 'we', 'as', 'a', 'to', 'the', 'for', 'and', 'so', 'we', 'the', 'and']",17,0.45,
Sentence 117,18,"['``', 'like', 'playing', 'high', 'stakes', ',', 'playing', 'mezzanine', ',', 'making', 'thousand', 'choices', '.', ""''""]",14,"['I', 'to', 'the', 'a']",4,0.22,
Sentence 118,18,"['often', 'think', 'sometimes', 'misuse', 'institutions', 'opposite', 'connecting', 'asking', '.']",9,"['I', 'that', 'we', 'those', 'to', 'do', 'the', 'of', 'and']",9,0.5,
Sentence 119,11,"[""'s"", 'like', 'tunnel', 'vision', 'disconnecting', 'echo', 'chamber', '.']",8,"['It', 'and', 'and']",3,0.27,
Sentence 120,40,"['Maybe', ',', 'hopefully', ',', ""'re"", 'generation', 'using', 'thing', 'disconnect', 'make', 'us', 'dumber', 'maybe', 'daughter', 'Mary', ""'s"", 'generation', 'figure', 'use', 'actually', 'connect', 'us', 'make', 'us', 'smarter', '.']",26,"['we', 'the', 'this', 'to', 'and', 'when', 'my', 'can', 'out', 'how', 'to', 'it', 'to', 'and']",14,0.35,
Sentence 121,9,"['people', 'using', 'internet', '.']",4,"['Some', 'are', 'the', 'for', 'that']",5,0.56,
Sentence 122,9,"['using', 'make', 'dumber', '.']",4,"['I', 'am', 'it', 'to', 'me']",5,0.56,
Sentence 123,7,"[""'s"", 'two', 'half', '.']",4,"['She', 'and', 'a']",3,0.43,
Sentence 124,23,"[""'m"", 'snatching', 'screens', 'away', 'like', ""'re"", 'poison', 'ca', ""n't"", 'pee', 'without', 'watching', 'YouTube', 'video', '.']",15,"['I', 'from', 'her', 'they', 'and', 'then', 'I', 'a']",8,0.35,
Sentence 125,34,"[""'m"", 'completely', 'addicted', 'poison', ',', 'better', 'get', 'right', 'relationship', 'try', 'preach', 'relationship', '.']",13,"['I', 'to', 'that', 'so', 'I', 'with', 'my', 'with', 'it', 'before', 'I', 'to', 'to', 'her', 'about', 'what', 'her', 'with', 'it', 'should', 'be']",21,0.62,
Sentence 126,10,"['part', 'left', 'social', 'media', '?']",5,"['Is', 'that', 'of', 'why', 'you']",5,0.5,
Sentence 127,11,"['Twitter', 'second', 'ran', 'away', '.']",5,"['I', 'had', 'for', 'a', 'and', 'then']",6,0.55,
Sentence 128,6,"['private', 'Instagram', '.']",3,"['I', 'have', 'a']",3,0.5,
Sentence 129,8,"[""'m"", 'addicted', 'like', 'everybody', 'else', '.']",6,"['I', 'is']",2,0.25,
Sentence 130,13,"[""'m"", 'sending', 'people', 'falling', 'videos', 'various', 'group', 'chats', '.']",9,"['I', 'down', 'to', 'my']",4,0.31,
